indicator,type,source,first_seen,last_seen
http://113.228.65.174:44434/i,url,urlhaus_recent,2025-09-05T08:42:32+01:00,2025-09-05T08:42:32+01:00
http://113.229.72.208:53545/i,url,urlhaus_recent,2025-09-05T08:42:32+01:00,2025-09-05T08:42:32+01:00
http://113.231.195.174:53023/i,url,urlhaus_recent,2025-09-05T08:42:32+01:00,2025-09-05T08:42:32+01:00
http://113.231.236.157:35180/i,url,urlhaus_recent,2025-09-05T08:42:32+01:00,2025-09-05T08:42:32+01:00
http://113.231.250.109:58830/bin.sh,url,urlhaus_recent,2025-09-05T08:42:32+01:00,2025-09-05T08:42:32+01:00
http://113.237.165.65:46758/bin.sh,url,urlhaus_recent,2025-09-05T08:42:32+01:00,2025-09-05T08:42:32+01:00
http://113.237.165.65:46758/i,url,urlhaus_recent,2025-09-05T08:42:32+01:00,2025-09-05T08:42:32+01:00
http://113.238.70.162:46518/i,url,urlhaus_recent,2025-09-05T08:42:32+01:00,2025-09-05T08:42:32+01:00
http://113.94.31.88:40043/bin.sh,url,urlhaus_recent,2025-09-05T08:42:32+01:00,2025-09-05T08:42:32+01:00
http://114.227.34.241:46555/i,url,urlhaus_recent,2025-09-05T08:42:32+01:00,2025-09-05T08:42:32+01:00
http://114.238.59.139:22179/i,url,urlhaus_recent,2025-09-05T08:42:32+01:00,2025-09-05T08:42:32+01:00
http://115.48.150.156:41519/bin.sh,url,urlhaus_recent,2025-09-05T08:42:32+01:00,2025-09-05T08:42:32+01:00
http://115.49.115.17:51615/bin.sh,url,urlhaus_recent,2025-09-05T08:42:32+01:00,2025-09-05T08:42:32+01:00
http://115.49.115.17:51615/i,url,urlhaus_recent,2025-09-05T08:42:32+01:00,2025-09-05T08:42:32+01:00
http://115.49.201.114:46970/i,url,urlhaus_recent,2025-09-05T08:42:32+01:00,2025-09-05T08:42:32+01:00
http://115.49.77.89:50853/bin.sh,url,urlhaus_recent,2025-09-05T08:42:32+01:00,2025-09-05T08:42:32+01:00
